date,x,y,cluster_id
2020-12-23,4.2294555,3.7323625,2
2020-12-24,3.3856647,5.4052343,1
2020-12-25,3.10444,5.7096767,1
2020-12-26,1.7381647,6.377689,1
2020-12-27,4.008425,4.313986,1
2020-12-28,3.647048,5.709432,1
2020-12-29,4.4821773,5.199835,1
2020-12-30,2.9063163,6.4823155,1
2020-12-31,4.5839176,5.366625,1
2021-01-01,4.612673,5.3187504,2
2021-01-02,1.3704442,6.61878,1
2021-01-03,3.9435127,6.701082,1
2021-01-04,2.0123417,0.6091627,1
2021-01-05,1.5041245,6.7048173,1
2021-01-06,1.4737953,6.7648325,1
2021-01-07,1.4678104,6.749909,1
2021-01-08,1.5120329,6.7822227,1
2021-01-09,4.146594,4.4922175,1
2021-01-10,2.009453,0.5940986,0
2021-01-11,1.9940261,0.41806123,0
2021-01-12,2.1638753,0.73680615,0
2021-01-13,1.0606418,5.742388,1
2021-01-14,2.4198782,4.965808,1
2021-01-15,2.0615418,0.6048241,0
2021-01-16,1.8130563,1.8492817,0
2021-01-17,1.8262141,1.8842039,0
2021-01-18,2.6262355,4.5024753,1
2021-01-19,2.3928194,3.1511824,0
2021-01-20,2.5506406,1.3756338,0
2021-01-21,1.6331325,0.1568551,0
2021-01-22,0.93635654,5.619933,1
2021-01-23,1.4909574,1.9861388,0
2021-01-24,1.4546838,2.1503353,0
2021-01-25,1.5477518,2.0101135,0
2021-01-26,1.5528467,2.0938776,0
2021-01-27,1.6752851,0.4745936,0
2021-01-28,1.1212287,5.7777324,1
2021-01-29,1.9319938,0.7583176,0
2021-01-30,2.0453508,3.1264842,0
2021-01-31,1.8092097,1.6488624,0
2021-02-01,1.9003907,3.0708988,0
2021-02-02,2.5155578,5.0078697,1
2021-02-03,2.7627027,5.067717,1
2021-02-04,3.5472517,4.0936036,0
2021-02-05,2.9325533,4.9728727,1
2021-02-06,2.9457808,5.031953,1
2021-02-07,3.802106,4.381745,1
2021-02-08,1.0681809,6.3574433,1
